id,churn_probability
69999,1
70000,0
70001,0
70002,1
70003,1
70004,1
70005,1
70006,1
70007,0
70008,1
70009,1
70010,1
70011,1
70012,1
70013,1
70014,1
70015,1
70016,1
70017,1
70018,0
70019,0
70020,0
70021,0
70022,0
70023,0
70024,1
70025,0
70026,0
70027,1
70028,1
70029,1
70030,0
70031,1
70032,0
70033,1
70034,0
70035,0
70036,1
70037,1
70038,0
70039,0
70040,0
70041,0
70042,0
70043,1
70044,0
70045,0
70046,1
70047,0
70048,1
70049,0
70050,1
70051,0
70052,0
70053,1
70054,1
70055,1
70056,0
70057,1
70058,0
70059,1
70060,1
70061,1
70062,0
70063,0
70064,1
70065,1
70066,1
70067,1
70068,1
70069,0
70070,0
70071,0
70072,0
70073,0
70074,0
70075,1
70076,0
70077,1
70078,1
70079,1
70080,1
70081,0
70082,1
70083,1
70084,1
70085,1
70086,0
70087,1
70088,0
70089,1
70090,1
70091,1
70092,1
70093,0
70094,0
70095,0
70096,1
70097,1
70098,0
70099,0
70100,1
70101,0
70102,1
70103,1
70104,1
70105,0
70106,1
70107,0
70108,0
70109,1
70110,0
70111,0
70112,1
70113,0
70114,0
70115,1
70116,1
70117,1
70118,0
70119,1
70120,1
70121,0
70122,1
70123,0
70124,1
70125,1
70126,0
70127,0
70128,1
70129,1
70130,1
70131,1
70132,0
70133,0
70134,0
70135,1
70136,1
70137,0
70138,0
70139,1
70140,0
70141,1
70142,1
70143,0
70144,0
70145,1
70146,0
70147,1
70148,0
70149,1
70150,0
70151,1
70152,1
70153,0
70154,1
70155,0
70156,1
70157,0
70158,1
70159,1
70160,1
70161,1
70162,0
70163,1
70164,0
70165,0
70166,0
70167,0
70168,1
70169,1
70170,0
70171,1
70172,0
70173,0
70174,1
70175,0
70176,0
70177,0
70178,1
70179,1
70180,0
70181,0
70182,0
70183,0
70184,1
70185,1
70186,1
70187,1
70188,1
70189,1
70190,1
70191,0
70192,0
70193,0
70194,1
70195,1
70196,1
70197,1
70198,0
70199,1
70200,1
70201,1
70202,1
70203,1
70204,1
70205,0
70206,1
70207,1
70208,0
70209,0
70210,1
70211,1
70212,1
70213,0
70214,1
70215,1
70216,1
70217,0
70218,1
70219,0
70220,1
70221,1
70222,0
70223,0
70224,1
70225,1
70226,1
70227,1
70228,0
70229,1
70230,1
70231,0
70232,0
70233,0
70234,0
70235,0
70236,1
70237,0
70238,0
70239,1
70240,1
70241,1
70242,1
70243,0
70244,0
70245,0
70246,1
70247,1
70248,1
70249,1
70250,0
70251,1
70252,0
70253,1
70254,0
70255,1
70256,1
70257,0
70258,1
70259,1
70260,1
70261,0
70262,1
70263,1
70264,1
70265,1
70266,1
70267,1
70268,0
70269,1
70270,1
70271,0
70272,0
70273,0
70274,0
70275,1
70276,1
70277,1
70278,1
70279,0
70280,1
70281,1
70282,0
70283,0
70284,1
70285,1
70286,1
70287,1
70288,1
70289,0
70290,1
70291,0
70292,1
70293,1
70294,0
70295,1
70296,1
70297,0
70298,0
70299,0
70300,0
70301,0
70302,1
70303,1
70304,0
70305,1
70306,0
70307,0
70308,1
70309,0
70310,1
70311,1
70312,1
70313,1
70314,0
70315,1
70316,0
70317,1
70318,0
70319,0
70320,0
70321,0
70322,1
70323,0
70324,1
70325,0
70326,0
70327,0
70328,0
70329,1
70330,0
70331,0
70332,0
70333,1
70334,1
70335,1
70336,0
70337,1
70338,1
70339,1
70340,0
70341,1
70342,0
70343,1
70344,1
70345,1
70346,0
70347,1
70348,1
70349,1
70350,1
70351,0
70352,0
70353,0
70354,1
70355,0
70356,0
70357,0
70358,1
70359,0
70360,0
70361,0
70362,1
70363,0
70364,1
70365,1
70366,1
70367,0
70368,0
70369,1
70370,1
70371,0
70372,1
70373,1
70374,0
70375,1
70376,0
70377,0
70378,0
70379,1
70380,1
70381,1
70382,0
70383,1
70384,1
70385,1
70386,0
70387,1
70388,0
70389,0
70390,1
70391,1
70392,0
70393,0
70394,1
70395,0
70396,0
70397,1
70398,0
70399,0
70400,0
70401,1
70402,0
70403,1
70404,1
70405,0
70406,1
70407,1
70408,0
70409,0
70410,0
